股票代號,中文名稱,官方英文名稱,產業分類,產業分類(英文)
2454,聯發科技,MediaTek Inc.,半導體 — IC 設計,Semiconductors — Fabless
3443,創意電子,Global Unichip Corp.,半導體 — IC 設計,Semiconductors — Fabless
3661,世芯電子,"Alchip Technologies, Limited",半導體 — IC 設計,Semiconductors — Fabless
2330,台灣積體電路製造,"Taiwan Semiconductor Manufacturing Company, Ltd.",半導體 — 晶圓代工,Semiconductor — Foundry
2303,聯電子,United Microelectronics Corp.,半導體 — 晶圓代工,Semiconductor — Foundry
5347,世界先進,Vanguard International Semiconductor Corporation,半導體 — 晶圓代工,Semiconductor — Foundry
3711,日月光投資控股,"ASE Technology Holding Co., Ltd.",半導體 — 封測,Semiconductor — Packaging & Testing
2449,京元電子,Walton Advanced Engineering Inc.,半導體 — 封測,Semiconductor — Packaging & Testing
7769,鴻勁精密,"Hong King Precision Co., Ltd.",半導體 — 封測,Semiconductor — Packaging & Testing
2408,南亞科技,Nanya Technology Corporation,半導體 — 記憶體,Semiconductor — Memory
2344,華邦電子,Winbond Electronics Corporation,半導體 — 記憶體,Semiconductor — Memory
2337,旺宏,"Macronix International Co., Ltd.",半導體 — 記憶體,Semiconductor — Memory
2382,廣達電腦,Quanta Computer Inc.,電子代工 — AI 伺服器與資料中心主導,EMS & ODM — AI Servers & Data Centers
6669,緯穎科技,Wiwynn Corporation,電子代工 — AI 伺服器與資料中心主導,EMS & ODM — AI Servers & Data Centers
2317,鴻海精密工業,"Hon Hai Precision Industry Co., Ltd.",電子代工 — AI 伺服器與資料中心主導,EMS & ODM — AI Servers & Data Centers
3231,緯創資通,Wistron Corporation,電子代工 — AI 伺服器與資料中心主導,EMS & ODM — AI Servers & Data Centers
2357,華碩電腦,ASUSTeK Computer Inc.,電子代工 — 消費性電子與混合代工,EMS & ODM — Consumer & Hybrid Electronics
2324,仁寶,"Compal Electronics, Inc.",電子代工 — 消費性電子與混合代工,EMS & ODM — Consumer & Hybrid Electronics
